	Mass	Radius	Teff	logg	L	tp1	tpE
      1.50000      2.79585      6151.77      3.72300      9.86279      264.550      641.026
      1.50000      2.99236      5929.25      3.66400      9.70510      308.642      757.576
      1.50000      3.07620      5741.17      3.64000      9.03649      320.513      757.576
      1.50000      3.10109      5584.70      3.63300      8.26038      314.465      724.638
      1.50000      3.10109      5420.01      3.63300      7.34514      297.619      666.667
      1.50000      3.11182      5272.30      3.63000      6.60693      277.778      617.284
      1.50000      3.19164      5164.16      3.60800      6.36796      287.356      641.026
      1.50000      3.54417      5023.43      3.51700      7.06318      396.825      877.193
      1.50000      3.88163      4965.92      3.43800      8.10961      537.634      1282.05
      1.50000      4.23169      4931.74      3.36300      9.35406      724.638      1851.85
